trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
6920,False,"{'a': 0.1, 'e': 0.03142976201836771}",35,18,32.067289152211266,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6921,False,"{'a': 0.1, 'e': 0.03141405106542407}",35,25,-21.741263883872215,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
6922,False,"{'a': 0.1, 'e': 0.03139834796599337}",20,13,11.857947987206831,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6923,False,"{'a': 0.1, 'e': 0.03138265271614982}",30,8,41.22314509479085,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6924,False,"{'a': 0.1, 'e': 0.0313669653119696}",30,13,34.67570128287808,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6925,False,"{'a': 0.1, 'e': 0.03135128574953089}",30,18,-20.058959109973415,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
6926,False,"{'a': 0.1, 'e': 0.03133561402491377}",25,2,39.97977264031114,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
6927,False,"{'a': 0.1, 'e': 0.03131995013420032}",20,8,18.420868391405754,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6928,False,"{'a': 0.1, 'e': 0.03130429407347458}",20,14,11.422831309466785,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6929,False,"{'a': 0.1, 'e': 0.0312886458388225}",20,12,16.510838826953787,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6930,False,"{'a': 0.1, 'e': 0.03127300542633206}",20,15,7.5861886933442335,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6931,False,"{'a': 0.1, 'e': 0.03125737283209313}",20,11,17.847316717150683,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6932,False,"{'a': 0.1, 'e': 0.031241748052197565}",30,20,19.64991143787548,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6933,False,"{'a': 0.1, 'e': 0.031226131082739195}",20,13,-0.8391331508351993,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
6934,False,"{'a': 0.1, 'e': 0.031210521919813744}",20,12,12.898881531383305,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
